"NAME","DISCIPLINE"
"Office Management Technology","ADMINISTRATION AND MANAGEMENT SCIENCES"
"Adult Education and Economics","EDUCATION"
"History and Diplomacy","ARTS"
"Geography and Environmental Management","SOCIAL SCIENCES"
"Instrumentation and Control Engineering","ENGINEERING AND TECHNOLOGY"
"Geology","SCIENCES"
"Mechanical Engineering Craft Practice","ENGINEERING AND TECHNOLOGY"
"Strategic Project Management","ADMINISTRATION AND MANAGEMENT SCIENCES"
"Biological Science","SCIENCES"
"Industrial Safety","HEALTH, SAFETY AND ENVIRONMENT"
"Industrial Microbiology","SCIENCES"
"Production Technology","ENGINEERING AND TECHNOLOGY"
"Renewable Energy","ENGINEERING AND TECHNOLOGY"
"Education/Political Science","EDUCATION"
"Manufacturing Engineering","ENGINEERING AND TECHNOLOGY"
"Crop Science","AGRICULTURE"
"International Oil and Gas Management","ADMINISTRATION AND MANAGEMENT SCIENCES"
"Environmental Technology","ENVIRONMENTAL SCIENCES"
"Computer Systems Engineering","ICT"
"Civil Engineering and Building","ENGINEERING AND TECHNOLOGY"
"Medical Rehabilitation","HEALTH SCIENCES"
"Shipping Management","ADMINISTRATION AND MANAGEMENT SCIENCES"
"Process Systems Engineering","ENGINEERING AND TECHNOLOGY"
"General Science","SCIENCES"
"Mechanical Engineering Technology","ENGINEERING AND TECHNOLOGY"
"Metallurgical and Materials Engineering","ENGINEERING AND TECHNOLOGY"
"Shipping Technology","ENGINEERING AND TECHNOLOGY"
"Gas Engineering","ENGINEERING AND TECHNOLOGY"
"Petroleum and Gas Engineering","ENGINEERING AND TECHNOLOGY"
"Aeronautical Engineering","ENGINEERING AND TECHNOLOGY"
"Petroleum Geosciences","SCIENCES"
"Information Management and Business Technology","ICT"
"Biomedical Engineering","ENGINEERING AND TECHNOLOGY"
"Marine Biology","SCIENCES"
"Industrial Physics","SCIENCES"
"Secretarial Administration","ADMINISTRATION AND MANAGEMENT SCIENCES"
"Industrial and Production Engineering","ENGINEERING AND TECHNOLOGY"
"Engineering Physics","ENGINEERING AND TECHNOLOGY"
"Transport Management Technology","ENGINEERING AND TECHNOLOGY"
"Science Laboratory Technology","ENGINEERING AND TECHNOLOGY"
"Offshore and Ocean Technology","MARINE OPERATIONS AND MANAGEMENT"
"Environmental Science","ENVIRONMENTAL SCIENCES"
"Mining Engineering","ENGINEERING AND TECHNOLOGY"
"Comparative Labour Studies","SOCIAL SCIENCES"
"Financial Management","ADMINISTRATION AND MANAGEMENT SCIENCES"
"Economics and Social Studies","SOCIAL SCIENCES"
"Food Production Management","SCIENCES"
"Civil and Structural Engineering","ENGINEERING AND TECHNOLOGY"
"Industrial Maintenance Engineering","ENGINEERING AND TECHNOLOGY"
"Human Resource Management","ADMINISTRATION AND MANAGEMENT SCIENCES"
"Subsea Engineering","ENGINEERING AND TECHNOLOGY"
"Pure and Applied Mathematics","SCIENCES"
"Pipeline Engineering","ENGINEERING AND TECHNOLOGY"
"Soil Science","SCIENCES"
"Animal Science Technology","AGRICULTURE"
"Agronomy","AGRICULTURE"
"Farm Power and Machinery","AGRICULTURE"
"Electromechanical Technology","ENGINEERING AND TECHNOLOGY"
"Petroleum Marketing","ADMINISTRATION AND MANAGEMENT SCIENCES"
"Electronic and Computer Engineering","ENGINEERING AND TECHNOLOGY"
"Accounting and Finance","ADMINISTRATION AND MANAGEMENT SCIENCES"
"Business Education","ADMINISTRATION AND MANAGEMENT SCIENCES"
"Agriculture and Environmental Engineering","AGRICULTURE"
"Agriculture and Farm Administration","AGRICULTURE"
"Agricultural Business and Management","AGRICULTURE"
"Agriculture and Bio-resources Engineering","AGRICULTURE"
"Agricultural Extension and Management","AGRICULTURE"
"Agricultural Science","AGRICULTURE"
"Agricultural Technology","AGRICULTURE"
"Animal and Environmental Biology","AGRICULTURE"
"Competitive Strategy and Game Theory","SOCIAL SCIENCES"
"Journalism","ARTS"
"Pure and Applied Art","ARTS"
"Environmental Engineering","ENVIRONMENTAL SCIENCES"
"Environmental Management","ENVIRONMENTAL SCIENCES"
"Environmental Microbiology","ENVIRONMENTAL SCIENCES"
"Laboratory Technology","HEALTH SCIENCES"
"Applied Biochemistry","SCIENCES"
"Applied Process Control","SCIENCES"
"Control and Systems Engineering","ENGINEERING AND TECHNOLOGY"
"Chemical and Ploymer Engineering","ENGINEERING AND TECHNOLOGY"
"Chemical and Process Engineeering","ENGINEERING AND TECHNOLOGY"
"Chemical Technology","ENGINEERING AND TECHNOLOGY"
"Electrical and Electronics Engineering Technology","ENGINEERING AND TECHNOLOGY"
"Electrical and Instrumentation Engineering","ENGINEERING AND TECHNOLOGY"
"Electrical Engineering","ENGINEERING AND TECHNOLOGY"
"Electrical Technology","ENGINEERING AND TECHNOLOGY"
"Electronics and Telecommunication","ENGINEERING AND TECHNOLOGY"
"Electronics Engineering","ENGINEERING AND TECHNOLOGY"
"Mechanical and Production Engineering","ENGINEERING AND TECHNOLOGY"
"Metal Work Technology","ENGINEERING AND TECHNOLOGY"
"Mineral Resource Engineering","ENGINEERING AND TECHNOLOGY"
"Network Engineering","ENGINEERING AND TECHNOLOGY"
"Oil and Gas Engineering","ENGINEERING AND TECHNOLOGY"
"Soil and Water Engineering","ENGINEERING AND TECHNOLOGY"
"Structural Engineering","ENGINEERING AND TECHNOLOGY"
"Technology Management","ENGINEERING AND TECHNOLOGY"
"Textile Technology","ENGINEERING AND TECHNOLOGY"
"Welding and Fabrication Engineering","ENGINEERING AND TECHNOLOGY"
"Social Science","SOCIAL SCIENCES"
"Pure Sciences","SCIENCES"
"Pure and Applied Chemistry","SCIENCES"
"Pollution Management","SCIENCES"
"Pharmacology","HEALTH SCIENCES"
"Petroleum Technology","ENGINEERING AND TECHNOLOGY"
"Parasitology","SCIENCES"
"Process Design For Energy","ENGINEERING AND TECHNOLOGY"
"Computer Diploma","SCIENCES"
"Computer Maintenance","ICT"
"Education/Environmental","EDUCATION"
"Education/Technical Education","EDUCATION"
"Educational Administration and Planning","EDUCATION"
"Industrial Studies","SCIENCES"
"International Relations","ARTS"
"International Studies","ARTS"
"Logistics","ARTS"
"Occupational Safety and Health","HEALTH, SAFETY AND ENVIRONMENT"
"Education/Government Studies","EDUCATION"
"Process and Environmental Systems Engineering","ENGINEERING AND TECHNOLOGY"
"Drilling Engineering","ENGINEERING AND TECHNOLOGY"
"Safety and Security Management","HEALTH, SAFETY AND ENVIRONMENT"
"Shipping, Trade and Finance","ADMINISTRATION AND MANAGEMENT SCIENCES"
"Marine Operations and Management","ADMINISTRATION AND MANAGEMENT SCIENCES"
"Polymer Technology","ENGINEERING AND TECHNOLOGY"
"Geography and Meteorology","SOCIAL SCIENCES"
"Electronic and Computer Technology","ENGINEERING AND TECHNOLOGY"
"Control Systems and Instrumentation","ENGINEERING AND TECHNOLOGY"
"International Law","LAW"
"Mechanical and Manufacturing Engineering","ENGINEERING AND TECHNOLOGY"
"Linguistics and French","ARTS"
"Business Management and Franchising","ADMINISTRATION AND MANAGEMENT SCIENCES"
