"ID","NAME","STATUS"
1001,"ADMINISTRATION AND MANAGEMENT SCIENCES","Migrated"
1002,"AGRICULTURE","Migrated"
1003,"ARTS","Migrated"
1004,"HEALTH SCIENCES","Migrated"
1005,"EDUCATION","Migrated"
1007,"ENVIRONMENTAL SCIENCES","Migrated"
1008,"LAW","Migrated"
1009,"MEDICINE","Migrated"
1010,"SCIENCES","Migrated"
1011,"SOCIAL SCIENCES","Migrated"
951499,"MARINE OPERATIONS AND MANAGEMENT","Migrated"
1086019,"HEALTH, SAFETY AND ENVIRONMENT","Migrated"
1218814,"AVIATION","ACTIVE"
1218813,"ICT","ACTIVE"
1218818,"ENGINEERING AND TECHNOLOGY","ACTIVE"
