"ID","NAME"
41,"Oil Tanker"
61,"Dredger"
81,"Ramp Barge"
83,"Water Barge"
101,"Flat Top Barge"
102,"Work Barge"
241,"Platform Supply Vessel"
82,"Fuel Barge"
84,"Dumb Barge"
85,"Self Propelled Barge"
121,"Offshore Construction Vessel"
141,"Pipelay Barge"
201,"Work Boat"
221,"Personnel Carrier"
21,"House Boat"
181,"Light Craft Vessel"
1,"Crew Boat"
2,"Security Vessel"
3,"Diving Support Vessel"
4,"Fast Supply Intervention Vessel"
5,"Accommodation Vessel"
7,"Anchoring Handling TUG Vessel"
8,"Tug Boat"
9,"Installation Barges"
10,"Jackup Barges"
11,"Life Boats"
161,"Environmental Barge"
162,"Chemical Barge"
163,"Survey Barge"
164,"Coral Barge"
261,"Offshore Support Vessel"
