"ID","NAME"
2040090,"ROPE ACCESS SERVICES"
2040123,"OFFSHORE PIPELINE LAYING"
2040153,"SUPPLY SERVICES"
2040113,"REFINERY SERVICES"
2040151,"HEAVY DUTY EQUIPMENT SUPPLY INSTALLATION AND MAINTENANCE"
2040157,"WORKS"
38602,"CONSULTANCY SERVICES"
38610,"MAINTENANCE SERVICES"
38629,"AUTOMOBILE SERVICES"
38670,"AVIATION SUPPORT SERVICES"
38723,"CALIBRATION SERVICES"
39086,"CHEMICAL SERVICES"
39096,"CHEMICAL SUPPLY SERVICES"
41836,"DATA MEASUREMENT SERVICES"
41907,"DREDGING SERVICES"
41911,"DIVING SERVICES"
42059,"DRILLING SERVICES"
42491,"DRILLING/PRODUCTION SERVICES"
43164,"EQUIPMENT/MATERIAL SUPPLY SERVICES"
45001,"EXPLORATION SERVICES"
45122,"EXPLORATION SERVICES DST SURFACE WELL TESTING"
45124,"EXPLORATION SERVICES SEISMIC DATA ACQUISITION AND INTERPRETATION"
45131,"HAULAGE SERVICES"
46129,"HOSPITAL/MEDICAL SERVICES"
46160,"HOSPITALITY SERVICES"
46430,"INSURANCE SERVICES"
46583,"INTEGRITY TEST SERVICES"
46832,"INTERNATIONAL FREIGHT/CLEARING FORWARDING SERVICES"
46861,"LABORATORY SERVICES"
47579,"MARINE SUPPORT SERVICES"
2040148,"SUPPLY"
50293,"PRINTING SERVICES"
50474,"PROTOCOL LOGISTICS SERVICES"
50723,"SPECIAL TRANSPORTATION SERVICES"
51136,"SURVEY SERVICES"
51261,"TECHNICAL CONSULTANCY SERVICES"
51613,"TELECOMMUNICATION SERVICES"
51640,"WASTE MANAGEMENT SERVICES"
51701,"WATER BOREHOLE SERVICES"
47573,"MANUFACTURING SERVICES"
2040098,"RESEARCH AND DEVELOPMENT SERVICES"
2040099,"EXPLORATION DRILLING AND PRODUCTION SERVICES"
2040102,"INSPECTION CONTROL AND TESTING SERVICES"
2040121,"ONSHORE ENVIRONMENTAL AND WASTE MANAGEMENT"
2040126,"INSTALLATION AND MAINTENANCE SERVICES "
2040128,"MAJOR CONSTRUCTION SERVICES"
2040146,"ONSHORE PIPELINE LAYING"
2040152,"HEAVY EQUIPMENT HIRE AND LEASING ONLY"
2040125,"FACILITY MAINTENANCE"
2040130,"PROCUREMENT AND SUPPLIES "
2040149,"UNDERWATER INSPECTION AND SERVICES"
2040154,"REHABILITATION UPGRADE AND FABRICATION WORKS"
2040156,"SPECIALISED OIL AND GAS TRAINING SERVICES"
2040159,"BANKING AND FINANCIAL SERVICES"
2040160,"ENVIRONMENTAL RESTORATION SERVICES"
2040164,"UNDERWATER INSPECTION  SERVICES"
2040165,"COMMUNICATION"
2040166,"OIL AND GAS TRADING SERVICES"
2040167,"ENGINEERING AND TECHNICAL SERVICES"
2040162,"ONSHORE PIPELINESTORAGE FACILITY MAINTENANCE"
2040169,"WORKS AND MAINTENANCE ARTISANS"
2040201,"PETROLEUM QUALITY MONITORING"
2040195,"LANDSCAPING AND DECORATION"
2040200,"HYDROCARBON MEASUREMENT"
2040178,"INSPECTION AND CERTIFICATION SERVICES "
2040184,"ENVIRONMENTAL RELATED STUDIES SERVICES"
2040192,"SPECIALIZED ENGINEERING AND TECHNICAL SERVICES AND STUDY"
2040205,"CARGO SURVEYING AND MEASUREMENTS"
2040207,"EVENTS AND MEDIA"
2040206,"MEDICAL AND PHARMACEUTICAL"
2040179,"CONSTRUCTION MANUFACTURING AND FABRICATION"
2040180,"DISCIPLINE ENGINEERING SERVICES"
2040181,"TRAINING AND MANPOWER DEVELOPMENT"
2040203,"FACILITY MAINTENANCE SERVICES"
2040190,"MANPOWER SUPPLY"
2040202,"STORAGE AND PRESERVATION"
2040204,"PIPELINE AND CABLE LAYING"
2040172,"CORROSION SERVICES"
2040174,"FACILITIES AND EQUIPMENT INSTALLATION SERVICES"
2040175,"SECURITY SERVICES"
2040177,"GENERAL SUPPLY ARTISANS"
2040186,"WASTE MANAGEMENT SERVICES OPERATIONS HANDLING AND MAINTENANCE"
2040199,"OFFSHORE PIPELINE LAYING AND CONSTRUCTION"
2040197,"MARINE SERVICES INSTALLATION"
