"ID","NAME"
1,"SOLID MINERALS"
2,"LIQUID MINERALS"
3,"BIOGAS"
4,"METALS"
5,"PHARMACEUTICALS"
6,"INDUSTRIAL CHEMICALS"
7,"FOSSIL FUEL"
8,"COMPOSITE MATERIALS"
9,"ANIMAL RAW MATERIALS"
10,"REMEDIATION MATERIALS"
11,"PLASTIC RAW MATERIALS"
12,"BLACK PVC RAW MATERIAL"
13,"INSULATION MATERIALS"
14,"WRAPPING MATERIALS"
15,"WELDING MATERIALS"
16,"CERAMICS"
17,"RADIOACTIVE MATERIAL"
18,"BAYRITE"
19,"CERAMICS"
20,"BUILDING MATERIALS"
21,"FIBROUS MATERIAL"
22,"PRECIOUS STONES"
23,"TIMBER"
24,"AGRICULTURAL PRODUCE"
25,"ALLOYS"
1219473,"ELECTRONIC MATERIALS"
1219480,"AGRICULTURAL MATERIALS"
