"ID","NAME","SERVICE_CATEGORY_ID","SERVICE_CATEGORY_NAME"
43901,"Supply of Security and Safety Equipment",38606,""
43904,"Supply of Security Equipment",38606,""
43979,"Supply of Structural Steel",38606,""
43982,"Supply of Synthetic Fibre Rope, Steel Wire Ropes, Slings and Fittings",38606,""
43984,"Supply of Tubes, Fittings and Cold Room (with Accessories)",38606,""
43987,"Supply of Tubular Accessories",38606,""
43990,"Supply of UPS, Batteries, Power Converters, Valves and Accessories",38606,""
43993,"Supply of Valve Spares and Pipe Fittings",38606,""
43995,"Supply of Valves",38606,""
44021,"Supply of Valves and Pumps",38606,""
44035,"Supply of Valves, Bearings, Hoses and Flanges",38606,""
44047,"Supply of Valves, Flanges and Elbows",38606,""
44058,"Supply of Valves, Flanges, Bolts and Nuts",38606,""
44061,"Supply of Valves, Instrumentation Hardware, U Bent Tubes and Weld Fittings",38606,""
44070,"Supply of Valves, Tubulars and Flanges",38606,""
44073,"Supply of Valves, Metering Equipment",38606,""
44078,"Supply of Weighing and Inkjet Coding Equipment",38606,""
44086,"Supply and Installation of Personal Protective Equipment",38606,""
39799,"Advertising, Publicity and Events Management",38602,"CONSULTANCY SERVICES"
39802,"Architectural Services",38602,"CONSULTANCY SERVICES"
39850,"Asset Management",38602,"CONSULTANCY SERVICES"
39853,"Assets Integrity and Organisational Effectiveness",38602,"CONSULTANCY SERVICES"
39856,"Business Advisory",38602,"CONSULTANCY SERVICES"
39859,"Car/Vehicle Hire and Leasing",38602,"CONSULTANCY SERVICES"
39867,"Clearing and Forwarding",38602,"CONSULTANCY SERVICES"
39901,"Courier Services",38602,"CONSULTANCY SERVICES"
40686,"Local Freight, Clearing and Forwarding",38602,"CONSULTANCY SERVICES"
41250,"Property Development and Estate Management",38602,"CONSULTANCY SERVICES"
41262,"Provision of Security Guards and Dogs Services",38602,"CONSULTANCY SERVICES"
41265,"Public Relations",38602,"CONSULTANCY SERVICES"
41272,"Quantity Surveying",38602,"CONSULTANCY SERVICES"
41316,"Risk and Safety Management",38602,"CONSULTANCY SERVICES"
41319,"Risk Management Services",38602,"CONSULTANCY SERVICES"
41328,"Risk Management (Certificate Verification/Background Investigations)",38602,"CONSULTANCY SERVICES"
41331,"Risks/Assets Management",38602,"CONSULTANCY SERVICES"
41440,"Surveying and Mapping",38602,"CONSULTANCY SERVICES"
41446,"Training and Manpower Development",38602,"CONSULTANCY SERVICES"
41735,"Training and Manpower Development (Nigerian Professional Only)",38602,"CONSULTANCY SERVICES"
41773,"Travel Logistics (Immigration/Visa)",38602,"CONSULTANCY SERVICES"
41795,"Fire Engineering Design",38602,"CONSULTANCY SERVICES"
41810,"Media, Publicity and Event Management",38602,"CONSULTANCY SERVICES"
